accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
2.902,-5.602,6.548,6.163,6.016,-4.689,-0.063,-1.206,-0.699,0.936,-1.674,1.207,0.634,0.581,0.511,-15.652,-19.484,36.119
5.301,-2.121,5.157,6.045,6.074,-4.769,0.06,-0.577,-0.568,0.125,-1.153,0.202,0.634,0.584,0.506,-15.773,-21.303,37.347
6.325,0.455,2.957,5.923,6.114,-4.869,0.169,-0.601,-0.51,0.315,-0.097,-1.136,0.634,0.588,0.501,-14.761,-22.186,36.757
7.52,2.22,0.984,5.726,6.174,-5.027,0.136,-1.118,-0.656,0.206,0.402,-1.889,0.636,0.593,0.492,-14.757,-20.378,37.343
7.317,3.395,-1.594,5.456,6.272,-5.202,-0.178,-1.661,-0.755,-0.276,-0.324,-1.454,0.64,0.596,0.482,-13.632,-21.094,35.863
6.993,4.238,-3.402,5.093,6.431,-5.373,-0.679,-2.444,-0.837,0.617,-0.163,0.008,0.646,0.597,0.47,-12.834,-20.509,38.246
6.062,4.812,-4.482,4.624,6.678,-5.495,-1.316,-3.182,-1.018,0.691,-0.749,2.88,0.654,0.594,0.457,-10.672,-24.1,37.1
6.136,5.911,-5.921,4.052,7,-5.546,-1.999,-4.071,-0.951,-0.611,-1.687,6.227,0.663,0.586,0.442,-6.473,-23.877,37.604
5.839,6.476,-6.835,3.297,7.374,-5.561,-2.695,-6.161,-0.551,0.228,-0.337,8.873,0.681,0.566,0.418,-3.668,-28.513,38.104
5.095,5.849,-6.574,2.329,7.811,-5.453,-3.564,-8.96,0.002,2.648,0.398,10.981,0.706,0.528,0.378,1.306,-28.304,35.025
5.631,6.168,-5.281,1.359,8.305,-5.035,-4.561,-11.224,0.974,7.59,-0.666,13.486,0.735,0.466,0.328,6.77,-30.93,32.086
5.236,5.816,-2.521,0.633,8.813,-4.256,-5.404,-12.963,2.382,10.572,-2.924,14.546,0.759,0.374,0.269,13.657,-34.465,28.589
3.354,5.164,0.8,0.343,9.254,-3.229,-5.766,-14.551,3.963,11.978,-3.218,13.974,0.775,0.253,0.2,17.545,-38.278,22.403
3.44,6.848,3.455,0.522,9.532,-2.244,-5.345,-15.958,5.073,12.866,-0.073,10.635,0.776,0.109,0.12,20.358,-40.842,13.638
4.908,7.975,5.691,1.09,9.62,-1.561,-4.578,-15.862,5.57,12.471,3.874,3.235,0.76,-0.042,0.038,20.805,-42.908,3.201
8.901,7.346,8.629,1.961,9.544,-1.108,-4.317,-14.255,5.693,20.786,5.465,2.421,0.723,-0.183,-0.03,15.825,-43.152,-6.477
11.178,5.516,10.47,2.846,9.376,-0.405,-5.293,-9.526,4.724,23.39,10.764,16.153,0.665,-0.281,-0.073,7.083,-43.362,-12.202
12.304,5.591,10.901,3.392,9.162,0.844,-6.577,-2.75,2.965,7.894,19.23,26.029,0.6,-0.311,-0.091,0.15,-42.366,-18.152
13.362,8.986,8.502,3.336,9.025,1.893,-5.692,-1.312,-0.01,-5.306,18.13,16.65,0.554,-0.31,-0.12,-3.154,-38.817,-22.11
13.51,13.051,1.746,2.784,9.097,2.379,-3.797,-3.91,-3.102,-19.768,11.008,7.469,0.531,-0.312,-0.183,-1.764,-34.416,-25.633
22.671,14.638,1.355,2.222,9.213,2.521,-1.928,-5.359,-3.526,-22.126,11.38,11.112,0.517,-0.323,-0.25,-3.993,-32.117,-27.014
26.161,19.894,15.759,1.783,9.343,2.386,0.081,-3.427,-2.871,-8.838,8.376,4.957,0.519,-0.331,-0.292,-5.74,-30.988,-29.807
11.257,28.314,26.866,1.23,9.453,2.3,0.66,0.097,-2.654,-6.435,1.6,5.903,0.532,-0.316,-0.31,-6.609,-30.273,-29.672
-1.951,27.203,18.553,0.76,9.525,2.208,0.912,1.458,-1.735,-10.271,-0.796,7.418,0.548,-0.295,-0.315,-6.032,-32.303,-28.404
-16.956,20.198,9.872,0.556,9.582,2.014,1.242,0.817,-0.595,-7.978,-3.205,4.147,0.561,-0.287,-0.313,-1.553,-33.76,-26.633
-19.867,20.744,13.674,0.529,9.635,1.749,1.373,-0.569,-0.125,-3.665,-5.615,0.002,0.57,-0.294,-0.314,-2.786,-32.173,-28.896
-7.015,17.926,7.396,0.519,9.677,1.499,1.21,-1.016,-0.204,-0.761,-6.034,-1.509,0.576,-0.304,-0.318,-2.687,-33.035,-25.912
-5.176,11.277,8.258,0.453,9.701,1.359,0.756,-0.161,-0.383,0.299,-5.078,0.52,0.581,-0.305,-0.319,-2.15,-32.909,-25.557
