"accelerometer_x","accelerometer_y","accelerometer_z","gravity_x","gravity_y","gravity_z","gyros_x","gyros_y","gyros_z","lin_accel_x","lin_accel_y","lin_accel_z","game_rot_vec_x","game_rot_vec_y","game_rot_vec_z","magn_field_x","magn_field_y","magn_field_z"
2.198,-5.095,-9.131,0.883,-4.336,-8.752,-0.71,-0.857,-0.615,1.256,-0.257,-2.017,-0.719,-0.655,0.119,-13.634,12.633,49.287
1.939,-5.049,-9.9,0.728,-4.153,-8.854,-0.933,-1.309,-0.867,0.686,-0.85,-3.214,-0.714,-0.665,0.12,-13.051,10.443,50.089
1.396,-5.382,-9.943,0.422,-3.91,-8.983,-1.267,-2.149,-1.04,-0.481,-2.019,-6.153,-0.706,-0.678,0.125,-13.306,8.324,49.31
1.587,-5.248,-9.866,-0.221,-3.592,-9.123,-1.722,-4.035,-1.179,0.365,-2.523,-7.499,-0.695,-0.694,0.14,-11.615,9.52,50.745
2.03,-4.901,-10.326,-1.269,-3.199,-9.183,-2.278,-6.316,-1.508,1.246,-3.308,-7.097,-0.677,-0.714,0.166,-8.615,7.521,50.235
1.886,-4.944,-11.071,-2.696,-2.759,-9.016,-2.844,-8.408,-1.586,1.696,-4.728,-5.29,0.65,0.732,-0.201,-2.501,4.149,51.698
2.14,-4.602,-10.786,-4.314,-2.252,-8.514,-3.506,-9.679,-1.233,2.811,-5.557,-6.024,0.618,0.743,-0.237,4.829,0.4,50.043
1.417,-5.02,-12.105,-5.913,-1.608,-7.656,-4.687,-10.269,-0.77,1.981,-8.3,-11.404,0.579,0.745,-0.265,14.102,-1.84,50.169
-0.055,-5.961,-15.21,-7.66,-0.817,-6.068,-6.189,-12.921,0.071,-2.019,-14.204,-14.917,0.526,0.73,-0.291,22.708,-4.976,45.32
0.141,-6.163,-16.742,-9.273,0.014,-3.19,-7.804,-17.338,1.13,2.603,-17.142,-9.732,0.447,0.68,-0.318,32.024,-10.611,38.374
-0.046,-6.565,-16.446,-9.782,0.395,0.568,-8.592,-19.235,1.373,11.64,-20.207,-5.515,0.34,0.596,-0.335,42.444,-15.439,26.413
-1.058,-7.546,-14.501,-8.897,0.285,4.114,-7.066,-18.314,1.877,19.608,-24.298,-8.512,0.233,0.486,-0.34,48.86,-18.625,7.719
-1.611,-7.865,-14.75,-7.282,0.172,6.566,-4.786,-14.157,3.144,30.068,-20.147,1.661,0.153,0.377,-0.324,48.529,-16.936,-10.255
-4.113,-9.957,-19.295,-6.411,0.139,7.42,-3.89,-5.288,4.047,26.619,-6.129,10.754,0.112,0.33,-0.283,40.672,-16.411,-28.915
-9.97,-15.052,-21.215,-6.265,0.15,7.543,-3.503,-0.472,4.195,13.519,1.139,5.735,0.092,0.327,-0.234,32.51,-12.177,-37.466
-7.025,-17.128,-13.043,-6.083,0.033,7.692,-3.654,-0.835,3.207,11.664,6.942,2.503,0.069,0.321,-0.192,27.745,-12.502,-40.604
1.561,-19.8,-4.929,-5.733,-0.339,7.949,-3.992,-1.883,1.619,14.626,10.479,1.349,0.035,0.306,-0.165,26.537,-13.213,-44.243
10.561,-24.009,-4.328,-5.394,-0.843,8.147,-3.967,-1.781,0.674,14.172,10.892,1.942,-0.001,0.291,-0.146,24.921,-8.308,-45.996
22.759,-19.975,8.251,-5.293,-1.314,8.15,-3.444,-0.484,0.359,6.425,9.921,2.564,-0.03,0.289,-0.132,23.676,-4.437,-45.819
20.221,-5.99,18.158,-5.319,-1.693,8.063,-2.759,0.062,0.221,-1.447,8.2,0.413,-0.054,0.293,-0.121,22.969,-2.405,-46.643
7.283,1.288,13.243,-5.207,-2.052,8.052,-2.569,-0.87,0.16,-5.855,6.175,2.152,-0.077,0.289,-0.111,20.746,1.547,-48.36
5.629,6.974,10.135,-4.901,-2.384,8.153,-2.396,-2.04,0.286,-4.876,3.751,4.502,-0.099,0.273,-0.099,21.513,2.159,-48.407
8.964,10.144,9.199,-4.624,-2.617,8.243,-1.791,-1.82,0.48,-2.083,1.691,5.188,-0.116,0.257,-0.087,20.645,6.651,-46.942
8.868,10.063,9.953,-4.542,-2.728,8.252,-1.01,-0.675,0.533,-2.249,0.087,3.801,-0.125,0.252,-0.079,18.645,9.283,-49.951
1.228,8.631,10.566,-4.538,-2.765,8.242,-0.538,-0.214,0.516,-2.424,-0.096,3.505,-0.128,0.252,-0.072,17.149,7.561,-49.585
-6.668,6.539,8.327,-4.518,-2.743,8.261,-0.205,-0.294,0.51,-0.976,1,2.458,-0.129,0.249,-0.066,17.332,10.518,-49.512
