accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
0.299,9.338,4.499,0.293,9.289,3.13,0.181,0.642,0.415,0.535,-0.574,0.656,0.45,-0.371,-0.497,-8.948,-33.414,-31.92
-0.084,9.424,4.59,0.332,9.29,3.124,0.076,0.861,0.533,-1.309,-0.947,0.228,0.453,-0.368,-0.489,-10.219,-32.526,-30.287
-0.522,9.388,4.353,0.415,9.278,3.151,-0.09,1.137,0.895,-2.673,-0.541,0.089,0.455,-0.364,-0.479,-10.406,-34.129,-33.606
-0.034,9.182,4.173,0.591,9.256,3.185,-0.112,0.983,1.358,-2.838,-0.794,0.597,0.454,-0.363,-0.466,-11.23,-32.106,-32.768
1.02,8.993,4.032,0.855,9.224,3.217,-0.063,0.723,1.738,-2.705,-1.801,1.508,0.451,-0.365,-0.452,-9.599,-32.204,-33.405
0.831,8.777,3.807,1.154,9.172,3.272,-0.103,1.121,2.102,-3.534,-2.512,1.901,0.447,-0.365,-0.433,-9.195,-32.071,-32.755
-0.975,8.401,3.371,1.496,9.084,3.378,-0.23,1.879,2.697,-6.089,-3.01,1.301,0.444,-0.362,-0.408,-11.209,-32.124,-31.097
-2.255,8.792,3.259,1.968,8.934,3.532,-0.365,2.238,3.65,-7.845,-3.515,0.269,0.437,-0.359,-0.374,-9.689,-30.733,-31.485
-2.244,8.514,3.8,2.622,8.68,3.736,-0.54,2.069,4.733,-8.552,-4.781,0.03,0.424,-0.36,-0.332,-11.362,-28.786,-34.061
-1.846,7.468,4.741,3.408,8.26,4.041,-0.869,2.312,5.835,-8.593,-6.607,-0.469,0.403,-0.362,-0.281,-13.229,-29.474,-35.777
-2.375,6.694,5.186,4.225,7.592,4.547,-1.472,3.308,7.05,-9.739,-8.358,-2.266,0.374,-0.358,-0.216,-13.547,-26.988,-35.017
-4.59,6.093,4.686,5.017,6.563,5.285,-2.392,4.025,8.436,-11.252,-11.423,-4.378,0.33,-0.348,-0.139,-14.474,-25.603,-35.6
-5.878,5.416,3.8,5.726,5.085,6.126,-3.395,3.83,9.691,-9.073,-16.037,-5.349,0.268,-0.34,-0.053,-15.755,-21.545,-37.387
-5.94,3.867,3.752,6.111,3.21,6.965,-4.364,3.821,10.305,-5.43,-17.632,-6.888,0.191,-0.329,0.038,-15.015,-17.285,-39.302
-5.212,1.585,3.539,5.93,1.051,7.74,-5.537,4.405,10.296,-3.697,-17.163,-9.789,0.098,-0.309,0.124,-14.468,-12.192,-40.717
-5.574,-0.874,2.217,5.178,-1.276,8.23,-6.877,4.675,9.941,-3.118,-17.234,-13.2,-0.009,-0.283,0.201,-12.582,-7.008,-43.234
-6.347,-5.006,0.79,4.116,-3.601,8.14,-8.175,3.866,9.225,0.395,-15.91,-17.697,-0.124,-0.264,0.263,-10.138,-0.058,-44.516
-3.524,-11.109,0.587,3.101,-5.713,7.343,-9.325,2.173,7.717,5.998,-12.497,-20.536,-0.239,-0.261,0.305,-4.602,9.163,-45.238
0.448,-14.545,-0.189,2.427,-7.477,5.863,-10.313,0.022,5.457,8.937,-12.092,-23.079,-0.348,-0.283,0.323,1.822,16.151,-42.708
1.97,-16.158,-2.392,2.073,-8.789,3.824,-11.235,-2.023,3.524,7.213,-18.157,-15.404,-0.446,-0.326,0.324,8.694,22.922,-37.878
1.803,-18.447,-5.38,1.778,-9.516,1.567,-11.258,-3.646,2.636,3.95,-25.637,-2.496,-0.527,-0.377,0.322,11.873,28.123,-34.065
4.288,-19.316,-9.998,1.264,-9.715,-0.43,-9.954,-4.268,2.97,7.76,-29.75,11.127,-0.588,-0.419,0.326,14.317,34.65,-26.115
8.921,-17.882,-13.616,0.785,-9.619,-1.74,-7.097,-3.234,2.384,13.862,-29.715,21.766,-0.624,-0.446,0.329,15.184,40.298,-19.418
11.221,-19.13,-17.561,0.7,-9.447,-2.538,-4.734,0.062,0.689,8.408,-13.263,19.455,-0.65,-0.455,0.312,13.635,42.134,-11.819
9.177,-26.482,-11.782,0.837,-9.278,-3.063,-3.255,1.935,-0.102,1.672,-10.018,9.402,-0.67,-0.455,0.284,17.178,39.525,-4.433
5.657,-34.773,-0.991,0.824,-9.171,-3.374,-1.88,0.806,0.424,2.793,-3.617,3.927,-0.683,-0.453,0.273,18.555,39.891,-0.349
8.992,-58.392,10.707,0.755,-9.075,-3.638,-1.464,-0.208,0.41,4.005,3.268,3.002,-0.691,-0.456,0.269,16.187,43.127,4.248
14.638,-55.632,20.045,0.8,-8.98,-3.858,-1.293,0.326,-0.076,1.124,1.208,2.681,-0.698,-0.458,0.26,15.921,39.822,6.572
9.103,-22.644,16.934,0.855,-8.906,-4.015,-0.996,0.612,0.022,1.92,-0.563,2.645,-0.704,-0.458,0.251,16.246,39.294,7.774
2.507,-19.264,6.35,0.914,-8.861,-4.1,-0.603,0.53,-0.036,1.751,0.048,3.048,-0.707,-0.457,0.245,15.814,37.991,8.862
3.615,-12.766,0.561,0.993,-8.84,-4.127,-0.287,0.656,-0.152,-0.508,-0.55,2.594,-0.709,-0.455,0.238,15.784,38.637,10.423
4.757,-5.767,-0.62,1.06,-8.831,-4.131,-0.149,0.699,-0.068,-0.694,-0.916,1.469,-0.711,-0.452,0.232,15.639,37.459,13.669
1.92,-7.724,-1.156,1.112,-8.822,-4.137,-0.081,0.421,-0.094,-0.003,0.231,0.039,-0.712,-0.451,0.229,15.694,38.449,13.289
